"titelen","SDGs","lernergebnisseenUNDlerninhalteen"
"Implementation of Digital Systems for Real Time Signal Processing","4, 9","After successfully completing the module, the participants will be familiar with different possibilities and principles of implementing digital systems for real-time signal processing. They are able to design, develop and simulate digital signal processing systems and their subsystems for implementation on Field Programmable Gate Array (FPGA) platforms. Moreover, they are able to evaluate the required hardware resources and system performance. They master the handling of the high-level design tool DSP-Builder for Intel (R) FPGAs"", (c) Intel Corp. as well as MATLAB and Simulink, (c) The Mathworks Inc. and know the productivity advantage over classic design methods. The participants of the module know the typical components of real-time signal processing systems as well as the functionality of internal and external interfaces. They are able to select or dimension suitable number formats for the implementation of arithmetic units and to configure the required arithmetic components."" The following topics are covered in the lecture part as well as in the practical part: Platforms for digital signal processing - DSP with fixed architectures and FPGA; FPGA design flow - classical and high-level; fixed point and floating point number formats and arithmetic; signal generation and signal analysis; interfaces for signal bursts, signal streams and system configuration; system control by means of finite state machines; clock generation for synchronous and asynchronous systems: meta stable states; FPGA-Embedded Microcontroller. Systematization of signals and system components, guideline for reliable designs."
"Models of Neural Systems","3, 4, 9","After this module, students will know: - the basic concepts of computational neuroscience, their theoretical foundation, and the most common models used  - the relevant basic neurobiological knowledge and the relevant theoretical approaches as well as the findings resulting form these approaches so far  - strengths and limitations of the different models - how to appropriately choose the theoretical methods for modeling neural systems - how to apply these methods while taking into account the neurobiological findings - how to critically evaluate results obtained.  - how to adapt models to new problems as well as to develop new models of neural systems. This module provides basic knowledge about the constituents of neural systems and their modeling, which includes basic neurobiological concepts and models concerning information processing within neurons and neural circuitry. Specific topics addressed are: - Electrical properties of neurons (Nernst equation, Goldman equation, Goldman-Hodgkin-Katz current equation, membrane equation) - Hodgkin-Huxley model (voltage-dependent conductances, gating variables, transient and persistent conductances, action-potential generation) - Channel models (state diagram, stochastic dynamics) - Synapse models (chemical and electrical synapses) - Single-compartment neuron models (integrate-and-fire, conductance-based) - Models of dendrites and axons (cable theory, Rall model, multi-compartment models, action-potential propagation) - Models of synaptic plasticity and learning (release probability, short-term depression and facilitation, long-term plasticity, Hebbian rule, timing-based plasticity rules, supervised/unsupervised and reinforcement learning) - Network models (feedforward and recurrent, excitatory-inhibitory, firing-rate and stochastic, associative memory) - Phase-space analysis of neuron and network models (linear stability analysis, phase portraits, bifurcation theory"
"Practical Intelligent Software Systems","4, 8, 9","Successful applicants ... - have practical experiences in software engineering methods in the context of a larger softare project - have improved team skills - know how to develop software with support of software development tools Utilisation of software development tools, communication and project planning tools; requirements analysis, design, implementation, documentation, test, and evaluation of software."
"Project Media Creation (5 CP)","4, 9, 11, 12","The students exhibit - the skills to interrelate technical and socio-scientific knowledge in given application contexts in order to solve practical problems in digital media production; - practical skills in the conception, design, creation, and editing of media; - practical skills in the conception, design, and creation of media systems; - practical skills in the evaluation of media systems; - practical experience in working with an interdisciplinary team; - competencies in the presentation of their knowledge to others; - practical skills in project management and practical experience in project organization. In this module, the student develop digital media based on previously acquired skills. Both informatics-related as well as creative and analytic-socio-scientific competencies are deployed. The project comprises the complete creation process of a digital medium from conception, design, capture, and post-production to its evaluation. The given problem to solve is redefined every semester and is solved in a team with interdisciplinary competencies. A multitude of different projects is available each semester. Most of the projects include sustainability aspects, depending on the project task. The team organizes itself autonomously. Regular supervision by a lecturer is guaranteed. The project ends with the presentation of the results and the submission of the project files."
"Interdisciplinary Media Project","4, 9, 11, 12","After this module the participants should have gained:  - ability to link technical and social scientific knowledge in concrete applications to solve practical problems in digital media production and media analysis  - understanding in editing media systems including sub areas of computer science, media communication and media technology - knowledge in realization of human-machine interfaces - practical understanding in designing media systems - practical understanding in design and development processes of media systems - practical understanding in evaluation of media systems - experience in working in interdisciplinary teams - ability to present attained material to others In this module the students develop solutions to problems in engineering and/or social science related to digital media relying on their curricula. Therefore, both computer science skills as well as analytical social science skills are used. The project includes a task of design, development and/or use of systems for designing, recording, transmission and/or display media. The topics are redefined each semester. The project tasks shall be solved within a team with interdisciplinary competences. The team organizes itself; continuous and regular consultations are guaranteed by a supervisor. Finally, a presentation of project results will be given by the team and a written report will be created."
"Image and Video Coding","4, 9, 12","Students are able to understand and work with modern methods of image and video coding including the basic concepts of the human visual system, cameras and displays, image and video signal processing, information and rate-distortion theory as well compression.  Digital image and video data are omnipresent and comprise the largest number of bits on the Internet. The coding of these signals is a fundamentally important problem that is being tackled with interdisciplinary approaches. Hence, the following topics are covered in this module: •	Cameras, displays and the human visual system •	Image and video signal processing •	Information and rate-distortion theory •	Basics of compression •	Modern methods of image and video coding •	Image and video compression standards: JPEG-x, MPEG-x und ITU-T (H.26x) "
"Computer Networks Specializations","4, 9","Students coursing this module will gain a deeper knowledge, in comparison to the mandatory module Computer Networks and Distributed Systems, of the most important aspects in communication networks as well as solid knowledge of the most important communication protocols. The practical part (Praktikum) will additionally provide the students with a deeper understanding of selected communication protocols as well as architectures. * Basic concepts in telecommunications * Circuit- and packet switching, multiplexing * Error detection and correction, flow control, multiple access technologies, medium access control * Local Area Network (LAN) technologies, especially 802.x-protocols e.g., Ethernet and Wireless LAN * Link Layer protocols (HDLC), Bridging, Routing * Connection management * The Internet - architecture and protocols * Quality of service * Remote procedure call"
"Communication Networks","4, 9","Students coursing this module will gain a good understanding of fundamental problems in communication networks as well as a basic knowledge of significant communication protocols. This module consist only of the lecture communication networks (Kommunikationsnetze). * Basic concepts in telecommunications * Circuit- and packet switching, multiplexing * Error detection and correction, flow control, multiple access technologies, medium access control * Local Area Network (LAN) technologies, especially 802.x-protocols e.g., Ethernet and Wireless LAN * Link Layer protocols (HDLC), Bridging, Routing * Connection management * The Internet - architecture and protocols * Quality of service * Remote procedure call"
"Business Processes","4, 8, 9, 12","After passing this module, students will be able to - distinguish different forms of value-chains and value-networks, - derive and structure business processes from a company's activities, - connect business processes of different companies, - model business processes, - check the soundness of business processes. - Basics and terminology, - Primary and supporting activities in value chains and nets, - B2B and B2C scenarios and case studies, - Classification and life cycles of business processes, - Modelling and description of business processes, - BPMN 2.x, CMMN 1.x, - Petri-Nets, - Soundness criteria"
"Simulation of Electromagnetic Fields","4, 7, 9","The students have in-depth knowledge of current simulation approaches for electromagnetic fields and its application to current problems. They understand the potential and the limitations of such methods, are able to choose the best suited approach for a given problem, and can control its parameters.The results of field simulations can be classified w.r.t their validity and error properties. The module includes an introduction and deepening of approaches to field simulation with a focus on finite methods (Finite Integration, Finite Elements), the application of professional simulation tools, use of relevant tools of numerical mathematics. The applications come from all fields in electrical engineering with focus on the simulation of wave phenomena."
"Automation in Medical Technology","3, 4, 9","Students will obtain detailed knowledge about automation in medical technology. This involves system and control theory, human physiology as well as biomedical technology.   In this module, automated therapy systems for the restoration of physiological organ functions we be presented. The focus is on the interdisciplinary design of extra and intra corporeal technological systems that interact with the body's physiological systems, working in conjunction with or even partially replacing them.  - Automated therapy systems - Physiological control loops - Cardiac pacemakers - Heart defibrillator - Ventricular assist devices and total artificial hearts - Mechanical ventilation - Anesthesia  - Heart–lung machine and extracorporeal membrane oxygenation - Dialysis - Extracorporeal liver support  - Artificial pancreas - Functional electrical stimulation to support paralyzed people  - Neurological rehabilitation (including rehabilitation robotics)"
"Applied Logics","4, 9","The set theory concepts as well as the associated logics allow application in formal modeling of contexts and concepts, which are also part of the seminar. Based on the central concepts of logic, we will deal with the logic and concepts of the Epsilon family in the seminar. These include special alternative set theories, which in particular allow self-referentiality to be modeled, as well as logics in the semantics of which the meaning of a formula and not just its truth value can be viewed and used."
"System identification and control in medicine","3, 4, 9","Students will obtain knowledge about system identification and control techniques for sampled data systems.  During this module students learn to select appropriate model structures and to apply suitable model parameter estimation as well as model validation techniques. Additionally, they acquire the knowledge about different model-based control concepts that directly employ the introduced model structures. Finally, students will be able to implement algorithms, to perform real system identification tasks based on recorded I/O data, to design control systems and to run control experiments both in simulation and in real-time. - Introduction to system identification and control in medicine - Least squares and recursive least squares - Kalman filter and extended Kalman filter - Introduction to Matlab and Simulink - Linear dynamical systems, prediction, Diophantine equation - Prediction error method - Model validation and model structure selection - Test signals (e.g. PRBS) - Model-predictive control - Polynomial pole-placement and LQG design - Iterative learning control - Modeling and control of neuro-prostheses - Computer exercises in Matlab und Simulink - Examples: neuro-prosthetics, blood sugar control, anesthesia control"
"Project Analysis and Synthesis of Control Systems","4, 9","While engaging in current research projects, the participants learn how to handle automation devices and techniques as well as computer-based analysis and design methods. Moreover, project management competencies are acquired. Up to four students cooperate in solving a project task that is related to current research questions of control engineering, rehabilitation robotics, or neuroprosthetics. Unlike common labs with predefined subtasks, this project lab requires each participant to assume full responsibility of the entire project and its success. The workload as well as major decisions are shared, but the project is managed by one of the group members. This is common practice in industrial team work environments. While the goals of each project are precisely described by the adviser, there are typically no predefined solution paths. All required devices, material, and data sheets are provided. In regular meetings, advice is given on how to manage the project and how to achieve the project goals."
"Models of Higher Brain Functions","3, 4, 9","Having completed this module, participants will know: - the basic concepts and most important topics in the Cognitive Neurosciences - the state-of-the-art models in these domains and their theoretical foundations. They will understand: - strengths and limitations of the different modeling approaches (e.g. bottom-up versus top-down) - the rationale behind models and their implementation - performance criteria and critical statistical tests. They will be able to: - modify models of cognitive processes - apply existing models to novel experimental paradigms, situations or data. Cognitive Neuroscience Lecture: - auditory and visual system - natural image statistics and sensory processing - motor system - psychology and neuroscience of attention - memory systems - executive control - decision making - science of free will and consciousness Theoretical Lecture & Analytic Tutorial: Computational models of - visual processing - attention - multisensory integration - decision making - behavioral learning (conditioning, reward learning) - motor control Programming Tutorial: - hands-on experience of the models covered in the lecture, by means of computer simulations in Python."
"Electronics with Practical Course","4, 7, 9","Based upon the basic kowledge conveyed in circuit and microprocessor technology, the students know the theoretical fundamentals of developing electronical hardware modules. They are proficient with the basics of electronic systems, are capable of performing the necessary calculations and are acquiainted with the methods for designing, dimensioning and integrating systems. They are furthermore able to dimension, build and measure the respective circuits. The lecture teaches the operation of analog and digital electronical components and systems, as well as their design and system integration. Concrete contents are operational amplifiers, filter circuits, oscillators, phase locked loops, analog-digital/digital-analog converters, programmable logic and select areas of micro- and signal processors. The tutorials are concerned with the exemplary desig and calculations thereof. The laboratory units encompass the dimensioning, building and measuring of the circuits theoretically considered in the lecture, also expanding them to real-world applications and pointing out the necessary changes which need be made therefor. Optionally, by selecting the module Projekt Elektronik"", one can design, build and test the hard- and software of a freely chosen electronical system. The work in goups of approximatively eight participants demands - other than technical competence - teamwork and project management skills."""
"Master Thesis","4, 8, 9, 17","In the Master thesis, the candidate shall demonstrate that she/he is able to deal with a task in a selected study field independently and according to scientific methods within the stipulated period of time, and to present the results of such work appropriately in compliance with the standards of good scientific practice. The contents of the Master Thesis depend: a) on the study and research interests of the student b) on the subject of the Master Thesis. The candidate has the right to propose a topic for the Master Thesis which may consist of an interdisciplinary research project. The examination board allocates the topics by taking into consideration their homogeneity and the feasibility of the project within the given deadline.  For the Master Thesis, it is recommended to select the subject of one of the Lab Rotations."
"Modeling and simulation of batteries","7, 9, 11, 13","After passing this module students are able to simulate electrochemical energy storage systems. Additionally, they have learned to work on a simulation project in a group corresponding to a planned schedule and to present their results. The content of this module is an introduction to electrical, thermal and ageing modelling of batteries. Different kinds of modelling are distinguished:  Electrical models: impedance based, physical/chemical and energy flow models Thermal models: spatially resolved heat generation and distribution ageing models: physical/chemical and empirical based on Ah throughput. The special characteristics of lead-acid batteries, lithium-ion batteries and supercaps are presented."
