titelde,SDGs,lernergebnissedeUNDlerninhaltede
Formale Sprachen und Automaten,"4, 9","Absolventinnen und Absolventen dieses Moduls beherrschen einen Grundstock an mathematischen und logischen Grundlagen der Theoretischen Informatik; sie verstehen die grundsaetzliche Unterscheidung zwischen Syntax und Semantik. Sie besitzen die Faehigkeit zur strukturierten Argumentation im Sinne mathematischer Beweisfuehrungen und sind in der Lage durch Abstraktionen von konkreten Sachverhalten auf allgemeine Sachverhalte zu wechseln. Sie beherrschen den Umgang mit formalen Sprachen, Grammatiken, endlichen Automaten, und Kellerautomaten. Entsprechende Aufgabenstellungen koennen sie sowohl selbstaendig als auch in Kleingruppen bearbeiten. * Mengen, logische Aussagen, Beweisnotation, Beweistechniken * Relationen, Ordnungen, Abbildungen, aequivalenzen, Quotienten, Kardinalitaet * Woerter, Sprachen, Ausdruecke * Chomsky-Hierarchie, Grammatiken, Syntaxbaeume * Automaten, Kellerautomaten, Pumping Lemma * Nichtdeterminisimus"
Rechnerorganisation,"4, 9, 12","Die Studierenden sind in der Lage, programmierbare digitale Systeme in Assembler zu programmieren. Sie koennen beschreiben, wie ein in einer hoeheren Programmiersprache geschriebenes Programm in Maschinensprache uebersetzt und von einem digitalen System ausgefuehrt wird. Ferner sind sie in der Lage, die mit der Bearbeitung der Maschinenbefehle einhergehenden logischen Ablaeufe in einem digitalen System auf der Registertransferebene abzuleiten und Erweiterungen zu entwickeln. Ausserdem koennen die Studierenden die bei digitalen Systemen verwendeten Zahlendarstellungen interpretieren und arithmetischen Operationen mithilfe von zugrunde liegenden Mikroalgorithmen loesen. Sie koennen den grundsaetzlichen Aufbau digitaler Systeme darstellen, einschliesslich der Ein-Ausgabeorganisation, der Speicherhierarchie und der elementaren Strukturprinzipien von Rechnern. - Grundlagen im Entwurf digitaler Systeme (kombinatorische Logik, Gatter, Wahrheitstabellen, Speicherlemente, endliche Zustandsautomaten) - Grundlegende Technologien und Komponenten einer (sicheren) Rechnerarchitektur - Assemblerprogrammierung: Assemblersprache, Steuerkonstrukte, Adressierungsarten - Rechnerarithmetik: Zahlendarstellungen (Stellenwertsysteme, Fest- und Gleitpunktzahlen) - Rechenleistung verstehen und beurteilen (SPEC Benchmarks, Amdahl’s Law) - Aufbau und Funktionsweise eines einfachen Von-Neumann-Rechners - Aufbau und Funktionsweise einer Mehrzyklenimplementierung - Fliessbandverarbeitung (Pipelining), Pipelinekonflikte und ihre Loesungen - Speicherhierarchie, Caches, virtueller Speicher - Ein-Ausgabetechniken (Adressierung, Synchronisation, Direktspeicherzugriff)"
Systemprogrammierung,"4, 9, 11, 12, 13, 16","Die Studierenden verfuegen ueber solides Grundverstaendnis der maschinennahen Programmierung (Systemprogrammierung) sowie des Aufbaus und der Funktionsweise von Betriebssystemen. Sie koennen die Theorie nebenlaeufiger Prozesse, deren Synchronisation und Kommunikation sowie der Verwaltung von Betriebsmitteln erklaeren und rekonstruieren. Sie sind darueber hinaus in der Lage, Aspekte der theoretischen Grundlagen prototypisch und mit Hilfe von kleinen Programmen in der Programmiersprache C umzusetzen. * Nebenlaeufigkeit: Prozesse, Threads, Scheduling * Synchronisation und Kommunikation * Betriebsmittelverwaltung * Ein-Ausgabe: Geraeteunabhaengigkeit, Treiber * Speicherhierarchie: Caching und Virtualisierung * Programmierung: Programmiertechnik, Exception Handling, Interrupt Handling Das Modul geht auch auf gesellschaftliche Verantwortung und Nachhaltigkeit ein. Insbesondere wird die Bedeutung von sicheren Betriebssystemen hinsichtlich der Vermeidung von Daten- und Identitaetsdiebstahl sowie der Beitrag fuer den Aufbau und den Betrieb von kritischen Infrastrukturen hervorgehoben. Schliesslich wird dargestellt, wie effiziente Betriebssysteme den Ressourcenverbrauch nachhaltig senken koennen."
Betrieb komplexer IT-Systeme,"4, 9, 11, 12, 13, 16","Die Studierenden dieses Moduls verfuegen ueber Kenntnisse zur Dimensionierung, Virtualisierung, Hochverfuegbarkeit, Storage-Anbindung und zu Aspekten der Systemsicherheit in IT Infrastrukturen, das sie befaehigt, aktuelle Techniken und Ansaetze zur Planung und zum Aufbau von IT Infrastrukturen zielfuehrend anzuwenden. Weiterhin verfuegen sie ueber ein solides Grundverstaendnis von Organisationsprozessen, das sie befaehigt, Geschaeftsprozesse in IT Infrastrukturen abzubilden. In diesem Modul werden grundlegende Komponenten einer IT Infrastruktur behandelt. Es werden Namensdienste und Identity Management Mechanismen vorgestellt, des Weiteren Techniken der Ressourcenvirtualisierung, sowie Realisierung eines einheitlichen Zugangs zu Systemressourcen erlaeutert. Aktuelle Technologien von SAN ueber NAS und Storage Management sind ebenso wichtig wie verschiedene Netzwerktypen und -topologien. Wichtige Fragestellungen bei solchen Systemen betreffen ebenfalls Sicherheitsmechanismen, Fehlertoleranz und Monitoring-Verfahren. In der uebung zur integrierten Veranstaltung Betrieb komplexer IT-Systeme werden in der Vorlesung behandelte Konzepte und Verfahren anhand praxisnaher Fallbeispiele oder existierender Dienste in einem Linux-System nachvollzogen."
Algorithmen und Datenstrukturen,"4, 9, 12","Die Studierenden haben Kenntnisse der wesentlichen Datenstrukturen und Algorithmen. Sie sind in der Lage, geeignete Algorithmen und Datenstrukturen fuer ein gegebenes Problem auszuwaehlen. Sie haben ein Bewusstsein fuer die Wichtigkeit von Effizienz der Algorithmen im Sinne der Nachhaltigkeit. Die Studierenden haben Grundkenntnisse der objektorientierten Programmierung und die Faehigkeit, Algorithmen effizient zu implementieren und auf Problemstellungen anzuwenden. * Einfuehrung in Objekt-orientierte Programmierung in Java * Wachstumsordnungen, Komplextitaetsklassen, Big-O Notation * Backtracking  * Greedy-Algorithmen * Branch-and-Bound, Alpha-Beta-Suche * Randomisierte Algorithmen * Dynamisches Programmieren * Tiefen- und Breitensuche auf Graphen, Topologische Sortierung * Minimale Spannbaeume * Kuerzeste Wege (SSSP) * Flussgraphen, MaxFlow und MinCut * Heuristische und Approximative Algorithmen * Hash-Tabellen"
Logik,"4, 9","Verstaendnis der Rolle der Logik in der Informatik sowie der verschiedenen konkreten Anwendungsgebiete der Logik, z.B. in der Verifikation, Datenbanken und kuenstlicher Intelligenz. Grundkenntnisse der klassischen Aussagen- und Praedikatenlogik sowie anwendungsbezogener Kalkuele.  Verstaendnis des typischen Aufbaus einer Logik als mathematischer Theorie. Fertigkeit im Umgang mit aussagen- und praedikatenlogischer Formeln sowie in der Beurteilung formaler Korrektheit von Argumentationsmustern und Beweisen. * Anwendungen der Logik in der Informatik * Aussagenlogik * Syntax und Semantik der klassischen Aussagenlogik * aussagenlogische aequivalenz und Normalformen * Resolutionsverfahren * Algorithmische Grundlagen von SAT Loesern und deren Anwendungen in der Algorithmik und kuenstlichen Intelligenz * Praedikatenlogik erster Stufe * Syntax der Praedikatenlogik: logische Signaturen, Terme, Praedikationen, praedikatenlogische Formeln * Semantik der klassischen Praedikatenlogik: Strukturen und Gueltigkeit * praedikatenlogische Folgerung und aequivalenz * praedikatenlogische Substitution und Umbenennung * Beweiskalkuele fuer die Praedikatenlogik * Definierbarkeit in der Praedikatenlogik"
Diskrete Strukturen,"4, 9","Die Absolventinnen und Absolventen dieses Moduls koennen Problemstellungen aus der diskreten Mathematik verstehen und einschaetzen. Sie koennen einfache Beweise unter Verwendung von z.B. Induktion und Schubfachprinzip erarbeiten. Sie kennen diskrete Strukturen (z.B. Mengensysteme und Graphen) und deren Anwendung in der Informatik. Insbesondere gehoeren dazu diverse kombinatorische Abzaehlmethoden und elementare Grundbegriffe der Zahlentheorie, inklusive zur Public-Key-Kryptographie, die im Kontext der IT-Sicherheit relevant ist. Weiterhin verfuegen sie ueber solide Grundkenntnisse der Graphentheorie. Insbesondere verstehen sie verschiedene klassische Graphprobleme wie z.B. Matching und Graphfaerbung. Sie koennen Eigenschaften spezieller Graphklassen (z.B. bipartite und planare Graphen) zur Loesung von Graphprobleme ausnutzen. - Kombinatorik - Zahlentheorie - Graphentheorie"
Logische Methoden der Informatik,"4, 9","Das Modul behandelt weiterfuehrende Themen der Logik in der Informatik. Absolventen und Absolventinnen der Kurses haben ein gutes Verstaendnis fuer Anwendungen der Logik in der Informatik. Sie koennen souveraen mit logischen Systemen arbeiten, deren Komplexitaet und Ausdrucksstaerke analysieren.  Sie koennen die Anwendungsmoeglichkeiten der Logik in der Informatik gut einschaetzen und kennen einige wichtige Anwendungen der Logik z.B. in der Verifikation, der Algorithmik und Komplexitaetstheorie sowie zur Beschreibung formaler Sprachen.  Logik, Sprachen und Automaten * Logische Beschreibung regulaerer Sprachen  * Zusammenhang zwischen Logiken und Automaten Verifikation * Verifikationslogiken LTL, CTL und den mu-Kalkuel * Techniken zur automatischen Verifikation logischer Spezifikationen in Transitionssystemen Logik im Kontext relationaler Datenbanken * conjunctive queries * relationaler Kalkuel * effizientes Auswerten von Datenbankanfragen Aussdrucksstaerke logischer Systeme * Definierbarkeit in der Praedikatenlogik * Ehrenfeucht-Fraisse Spiele und  Lokalitaetssaetze Logik und Kopmplexitaet * Auswerten logischer Formeln in Strukturen, besonders Graphen. * Logische Beschreibungen von Komplexitaetsklassen Logik in der kuenstlichen Intelligenz * Constraint Satisfaction Probleme in der kuenstlichen Intelligenz "
Reaktive Systeme,"4, 9","Absolventinnen und Absolventen dieses Moduls koennen einfache nebenlaeufige Anwendungen formal spezifizieren, modellieren, und verifizieren. Sie koennen Fixpunkt-Berechnungen in mehreren unterschiedlichen Anwendungen ausfuehren sowie die darunter liegende Theorie erklaeren und rekonstruieren. Weiterhin verfuegen sie ueber ein solides Grundverstaendnis fuer formale Verifikationsaufgaben, das sie befaehigt die Loesbarkeit solcher Aufgaben mit den erlernten Techniken zu bewerten. Sie sind darueberhinaus in der Lage, die entsprechenden Kenntnisse und Techniken auf uebersichtliche Programmier-Beispiele und Algorithmen zielfuehrend anzuwenden. - Zustandsmaschinen - Prozesskalkuele und -sprachen - Transitionssysteme - Bisimulationstechniken - Beaobachtungsaequivalenz - Interleaving vs Gleichzeitigkeit vs Nebenlaeufigkeit - Fixpunkttheorie - Temporallogik, ohne und mit Rekursion, deren Syntax und Semantik - Model Checking - lineare vs verzweigte Zeit - Fairness-Konzepte"
Rechnerorganisation Praktikum,"4, 9","Die Studierenden sind befaehigt, digitale Systeme in einer Hardwarebeschreibungssprache (VHDL) zu beschreiben und deren Verhalten mit Hilfe der eingesetzten Entwicklungswerkzeuge zu simulieren. Sie sind in der Lage, synchrone und asynchrone hierarchische Designs mit Verhaltens- und Strukturbeschreibungen zu implementieren. Sie beherrschen sequentielle und nebenlaeufige Sprachkonstrukte. Sie kennen den Aufbau und die Funktionsweise einer Testbench und sind in der Lage, diese eigenstaendig zu entwickeln. Sie haben ausserdem Erfahrung mit dem systematischen Debugging von komplexen Schaltungen gesammelt. - Beschreibung digitaler Systeme mit einer Hardwarebeschreibungssprache (VHDL) - Wesentliche Sprachkonstrukte in VHDL (hierarchisches Design mit Verhaltens- und Strukturbeschreibungen, synchrone und asynchrone sowie sequentielle und nebenlaeufige Beschreibungen) - Beschreibung einzelner Komponenten eines RISC-Prozessors - Simulation digitaler Schaltungen (Umgang mit Entwicklungswerkzeugen, Entwicklung von Testbenches, systematisches Debugging)"
Softwaretechnik und Programmierparadigmen,"4, 9","Die Studierenden haben die Faehigkeiten, Entwicklungsmethoden zur systematischen Herstellung von Software anzuwenden. Sie kennen Techniken zur Projektorganisation und haben ueberblickswissen zu Softwarequalitaet und Anforderungsanalyse. Ihnen sind die Eigenschaften und Unterschiede verschiedener Programmierparadigmen bekannt. Durch die Arbeit im Team haben sie ihre Sozialkompetenz erweitert. * Vorgehensmodelle und Projektorganisation * Objektorientierte Entwicklungsmethoden * Anforderungsanalyse * Komponenten und Modularisierung * Verhaltensbeschreibungen * Qualitaetssicherung (z.B. Testen, Verifikation durch Hoare-Kalkuerl, Metriken) * Klassifikation von Softwaresystemen nach Architektur- und Anwendungszweck * Objektorientierte Programmierung * Modellorientierte Programmierung * Funktionale Programmierung * Logische Programmierung"
Funktionswerkstoffe der Elektrotechnik,"4, 9, 12","Die Studierenden kennen die wesentlichen Eigenschaften der wichtigsten Werkstoffe der ElektrotechnikElektronik und koennen diese bewerten. Sie koennen zu gegebenen Anforderungen die passenden Werkstoffe auswaehlen, bzw. sie anhand ihrer Eignung klassifizieren. Inhalt des Moduls sind Systemaspekte, Struktur und Eigenschaften der Materie. Behandelt werden: elektrische Leiter, Kontakte, Halbleiter, Supraleiter, elektrische Isolatoren, magnetische Werkstoffe, optische Werkstoffe sowie deren Technologie, Herstellung und Alterung mit Anwendungsbeispielen. Zusaetzlich werden Nanowerkstoffe sowie zukuenftige Technologien vorgestellt."
Leistungselektronik (6LP),"4, 7, 9, 12, 13","Leistungselektronik wird zur effizienten Wandlung und Steuerung elektrischer Energie eingesetzt. Die Studierenden erlernen in der Vorlesung mit Unterstuetzung von uebungsaufgaben und praktischen Versuchen die Grundlagen der wichtigsten Leistungshalbleiter-Bauelemente sowie der leistungselektronischen Schaltungen. Damit sind sie bei erfolgreichem Abschluss des Moduls in der Lage, leistungselektronische Problemstellungen in unterschiedlichen Anwendungen wie z.B. Energieeinspeisung von erneuerbaren Energien oder Steuerung von Antriebssystemen zu analysieren, zu bewerten und Loesungsvorschlaege zu entwickeln. Die Vorlesung behandelt den physikalischen Aufbau sowie das Leit- und Schaltverhalten von Halbleiterbauelementen, die in Wandlerschaltungen (Umrichtern) eingesetzt werden. Die Wandler-Prinzipien und Grundschaltungen der Leistungselektronik werden vermittelt. Anwendungsgebite der behandelten Schaltungen umfassen z.B. Netzteile, Antriebssysteme, Einspeisung von Photovoltaikanlagen in das Energieversorgungsnetz und Hochspannungs-Gleichstrom-uebertragung (HGue). Die Leistungen reichen vom Watt- bis in den Megawattbereich. Themen: Leistungshalbleiter: Leistungsdiode, MOSFET, IGBT, Thyristor, GTOIGCT. Leistungselektronische Schaltungen: fremd- und selbstgefuehrte Gleich- und Wechselrichter, Gleichspannungswandler; moderne Steuerverfahren; Netzrueckwirkungen; Anwendungen Praktische Versuche: Schaltverhalten von Leistungshalbleitern, Thyristorbruecke, Gleichspannungswandler."
Master-Seminar: Betrieb komplexer IT-Systeme,"4, 9, 11, 12","Die Studierenden verfuegen ueber Kenntnisse aktueller Forschungsergebnisse und Trends aus dem Bereich des Betriebs komplexer IT-Systeme. Durch die Arbeit im Seminar werden zudem methodische Fertigkeiten in der Aufbereitung von Literatur, des wissenschaftlichen Schreibens, sowie der Praesentation vermittelt. In diesem Seminar werden diese und verwandte Frage aus dem Bereich der Architektur und des Betriebs komplexer und verteilter IT Systeme aufgegriffen und anhand aktueller wissenschaftlicher Arbeiten und Literatur beleuchtet. Im Vordergrund stehen dabei Fragestellungen aus aktuellen Forschungsbereichen wie z.B.: Cloud Computing Virtualized Infrastructures Management of large scale computing clusters Big Data Analysis  and Visualization Internet of Things Quality of Service, Software Defined Networks Fault Tolerance Checkpointing"
Wissenschaftliches Rechnen,"4, 9","Studierende sind in der Lage konkrete alltaegliche Fragestellungen mit den Mitteln der Mathematik zu beschreiben. Sie koennen auf der Basis der mathematischen Beschreibung ein geeignetes Verfahren zur Berechnung auswaehlen und dieses dann implementieren. Dabei wissen sie, auf welche Bibliotheksmethoden sie zugreifen koennen und sollten. Sie sind in der Lage die Grenzen der Anwendbarkeit bzw. deren Ressourcenbedarf einzuschaetzen. Grundlagen des wissenschaftlichen Rechnens: Gleitkommazahlen, lineare Gleichungssysteme, lineare Ausgleichsrechnung, nichtlineare Gleichungen, Eigenwerte, Singulaerwertzerlegung, Approximation und Interpolation, diskrete Fouriertransformation und FFT, Optimierung."
Einfuehrung in die Medieninformatik,"4, 9",Die Studierenden haben - ein Verstaendnis des Themenfeldes Medieninformatik als interdisziplinaeres Forschungs- und Entwicklungsfeld fuer die Informations- und Kommunikationstechnologien; - Grundkenntnisse der Medien und Modalitaeten sowie ihrer praktischen Umsetzung zur zwischenmenschlichen Kommunikation und zur Mensch-Maschine-Interaktion; - Kenntnisse der Gestaltungsprozesse von Mediensystemen; - Faehigkeiten in der praktischen Umsetzung der o.a. Kenntnisse zur Gestaltung beispielhafter Systeme durch Programmierung; - Kompetenzen in der Darstellung des Erlernten gegenueber anderen. - Grundlegende Faehigkeiten der Programmierung sowie der Bearbeitung von Audio- und Bilddateien durch selbstgeschriebene Programme Grundbegriffe; Medien; Modalitaeten; Kodes; Audio; gesprochenegeschriebene Sprache; Bilder; Video; Grafik; Haptik; Multimedia und Multimodalitaet; Gestaltungsprozesse; Standards; Grundlagen der Programmierung.
