titelde,SDGs,Descriptions
Robotics: Aktuelle Themen,"4,9,17,8,13,5","Lehrergebnisse: Die Teilnehmer erwerben vertiefte Kenntnisse in einzelnen Bereichen der aktuellen Forschung bzw. Lehre im Bereich Robotik. Die Studierenden werden befähigt, relevantes Material zu einem gegeben Thema zu recherchieren, ein Paper im Journal-Format zu schreiben und ihre Ergebnisse in einem Vortrag zu präsentieren.
Lehrinhalte: Seminar mit wechselnden Inhalten zu aktuellen Themen aus der Robotik und angrenzenden Bereichen, z.B. Kinematik, Dynamik, Regelung, Lokalisierung, Planung, Representation, Heuristiken, Kollisionsvermeidung, Bildverarbeitung, maschinelles Lernen, Probabilistische Robotik."
Einführung in die Programmierung,"4,9,8,17,5,1","Lehrergebnisse: Die Studierenden haben Grundkenntnisse der (imperativen) Programmierung sowie Kenntnisse der grundlegenden Datenstrukturen und Algorithmen. Spezifischer: * Studierende sind mit grundlegenden Konzepten von Programmiersprachen vertraut. * Studierende können den Ablauf von Programmen nachvollziehen und selbst kleinere Programme entwickeln * Studierende können die Komplexität (insbesondere die Laufzeit) von Algorithmen exakt (für einfache Beispiele) und asymptotisch (O-Notation) abschätzen. * Studierende können Beweise zur Korrektheit von Programmen nachvollziehen und einfachere Beweise selbst führen. * Studierende sind mit den Stärken und Schwächen von einfacheren und fortgeschritteneren Sortieralgorithmen vertraut und können mit diesem Wissen die Wahl eines geeigneten Sortieralgorithmus begründen.
Lehrinhalte: In diesem Modul werden grundlegende Programmierkonzepte der imperativen Programmierung vermittelt: * Grundlegende Konzepte von Programmiersprachen * Verständnis des Ablaufs von Programmen * Entwicklung kleinerer Programme * Aufwandsabschätzungen (O-Notation) * Korrektheit * Suchen und Sortieren Innerhalb der ersten beiden Wochen des Semesters findet ein C-Kurs, bestehend aus Vorlesung, Tutorien und Rechnerübungen, statt. Im Rahmen dieses C-Kurses wird anhand praktischer Beispiele in die Programmierung mit C eingeführt."
Formale Sprachen und Automaten,"4,9,17,8,16","Lehrergebnisse: Absolventinnen und Absolventen dieses Moduls beherrschen einen Grundstock an mathematischen und logischen Grundlagen der Theoretischen Informatik; sie verstehen die grundsätzliche Unterscheidung zwischen Syntax und Semantik. Sie besitzen die Fähigkeit zur strukturierten Argumentation im Sinne mathematischer Beweisführungen und sind in der Lage durch Abstraktionen von konkreten Sachverhalten auf allgemeine Sachverhalte zu wechseln. Sie beherrschen den Umgang mit formalen Sprachen, Grammatiken, endlichen Automaten, und Kellerautomaten. Entsprechende Aufgabenstellungen können sie sowohl selbständig als auch in Kleingruppen bearbeiten.
Lehrinhalte: * Mengen, logische Aussagen, Beweisnotation, Beweistechniken * Relationen, Ordnungen, Abbildungen, Äquivalenzen, Quotienten, Kardinalität * Wörter, Sprachen, Ausdrücke * Chomsky-Hierarchie, Grammatiken, Syntaxbäume * Automaten, Kellerautomaten, Pumping Lemma * Nichtdeterminisimus"
Rechnerorganisation,"4,9,7,17,8","Lehrergebnisse: Die Studierenden sind in der Lage, programmierbare digitale Systeme in Assembler zu programmieren. Sie können beschreiben, wie ein in einer höheren Programmiersprache geschriebenes Programm in Maschinensprache übersetzt und von einem digitalen System ausgeführt wird. Ferner sind sie in der Lage, die mit der Bearbeitung der Maschinenbefehle einhergehenden logischen Abläufe in einem digitalen System auf der Registertransferebene abzuleiten und Erweiterungen zu entwickeln. Außerdem können die Studierenden die bei digitalen Systemen verwendeten Zahlendarstellungen interpretieren und arithmetischen Operationen mithilfe von zugrunde liegenden Mikroalgorithmen lösen. Sie können den grundsätzlichen Aufbau digitaler Systeme darstellen, einschließlich der Ein-/Ausgabeorganisation, der Speicherhierarchie und der elementaren Strukturprinzipien von Rechnern.
Lehrinhalte: - Grundlagen im Entwurf digitaler Systeme (kombinatorische Logik, Gatter, Wahrheitstabellen, Speicherlemente, endliche Zustandsautomaten) - Grundlegende Technologien und Komponenten einer (sicheren) Rechnerarchitektur - Assemblerprogrammierung: Assemblersprache, Steuerkonstrukte, Adressierungsarten - Rechnerarithmetik: Zahlendarstellungen (Stellenwertsysteme, Fest- und Gleitpunktzahlen) - Rechenleistung verstehen und beurteilen (SPEC Benchmarks, Amdahl’s Law) - Aufbau und Funktionsweise eines einfachen Von-Neumann-Rechners - Aufbau und Funktionsweise einer Mehrzyklenimplementierung - Fließbandverarbeitung (Pipelining), Pipelinekonflikte und ihre Lösungen - Speicherhierarchie, Caches, virtueller Speicher - Ein-/Ausgabetechniken (Adressierung, Synchronisation, Direktspeicherzugriff)"
Systemprogrammierung,"4,9,11,16,8,7","Lehrergebnisse: Die Studierenden verfügen über solides Grundverständnis der maschinennahen Programmierung (Systemprogrammierung) sowie des Aufbaus und der Funktionsweise von Betriebssystemen. Sie können die Theorie nebenläufiger Prozesse, deren Synchronisation und Kommunikation sowie der Verwaltung von Betriebsmitteln erklären und rekonstruieren. Sie sind darüber hinaus in der Lage, Aspekte der theoretischen Grundlagen prototypisch und mit Hilfe von kleinen Programmen in der Programmiersprache C umzusetzen.
Lehrinhalte: * Nebenläufigkeit: Prozesse, Threads, Scheduling * Synchronisation und Kommunikation * Betriebsmittelverwaltung * Ein-/Ausgabe: Geräteunabhängigkeit, Treiber * Speicherhierarchie: Caching und Virtualisierung * Programmierung: Programmiertechnik, Exception Handling, Interrupt Handling Das Modul geht auch auf gesellschaftliche Verantwortung und Nachhaltigkeit ein. Insbesondere wird die Bedeutung von sicheren Betriebssystemen hinsichtlich der Vermeidung von Daten- und Identitätsdiebstahl sowie der Beitrag für den Aufbau und den Betrieb von kritischen Infrastrukturen hervorgehoben. Schließlich wird dargestellt, wie effiziente Betriebssysteme den Ressourcenverbrauch nachhaltig senken können."
Betrieb komplexer IT-Systeme,"9,7,17,8,12,16","Lehrergebnisse: Die Studierenden dieses Moduls verfügen über Kenntnisse zur Dimensionierung, Virtualisierung, Hochverfügbarkeit, Storage-Anbindung und zu Aspekten der Systemsicherheit in IT Infrastrukturen, das sie befähigt, aktuelle Techniken und Ansätze zur Planung und zum Aufbau von IT Infrastrukturen zielführend anzuwenden. Weiterhin verfügen sie über ein solides Grundverständnis von Organisationsprozessen, das sie befähigt, Geschäftsprozesse in IT Infrastrukturen abzubilden.
Lehrinhalte: In diesem Modul werden grundlegende Komponenten einer IT Infrastruktur behandelt. Es werden Namensdienste und Identity Management Mechanismen vorgestellt, des Weiteren Techniken der Ressourcenvirtualisierung, sowie Realisierung eines einheitlichen Zugangs zu Systemressourcen erläutert. Aktuelle Technologien von SAN über NAS und Storage Management sind ebenso wichtig wie verschiedene Netzwerktypen und -topologien. Wichtige Fragestellungen bei solchen Systemen betreffen ebenfalls Sicherheitsmechanismen, Fehlertoleranz und Monitoring-Verfahren. In der Übung zur integrierten Veranstaltung Betrieb komplexer IT-Systeme"" werden in der Vorlesung behandelte Konzepte und Verfahren anhand praxisnaher Fallbeispiele oder existierender Dienste in einem Linux-System nachvollzogen."""
Algorithmen und Datenstrukturen,"4,9,12,8,17","Lehrergebnisse: Die Studierenden haben Kenntnisse der wesentlichen Datenstrukturen und Algorithmen. Sie sind in der Lage, geeignete Algorithmen und Datenstrukturen für ein gegebenes Problem auszuwählen. Sie haben ein Bewusstsein für die Wichtigkeit von Effizienz der Algorithmen im Sinne der Nachhaltigkeit. Die Studierenden haben Grundkenntnisse der objektorientierten Programmierung und die Fähigkeit, Algorithmen effizient zu implementieren und auf Problemstellungen anzuwenden.
Lehrinhalte: * Einführung in Objekt-orientierte Programmierung in Java * Wachstumsordnungen, Komplextitätsklassen, Big-O Notation * Backtracking  * Greedy-Algorithmen * Branch-and-Bound, Alpha-Beta-Suche * Randomisierte Algorithmen * Dynamisches Programmieren * Tiefen- und Breitensuche auf Graphen, Topologische Sortierung * Minimale Spannbäume * Kürzeste Wege (SSSP) * Flussgraphen, MaxFlow und MinCut * Heuristische und Approximative Algorithmen * Hash-Tabellen"
Logik,"4,9,16,17","Lehrergebnisse: Verständnis der Rolle der Logik in der Informatik sowie der verschiedenen konkreten Anwendungsgebiete der Logik, z.B. in der Verifikation, Datenbanken und künstlicher Intelligenz. Grundkenntnisse der klassischen Aussagen- und Prädikatenlogik sowie anwendungsbezogener Kalküle.  Verständnis des typischen Aufbaus einer Logik als mathematischer Theorie. Fertigkeit im Umgang mit aussagen- und prädikatenlogischer Formeln sowie in der Beurteilung formaler Korrektheit von Argumentationsmustern und Beweisen.
Lehrinhalte: * Anwendungen der Logik in der Informatik * Aussagenlogik * Syntax und Semantik der klassischen Aussagenlogik * aussagenlogische Äquivalenz und Normalformen * Resolutionsverfahren * Algorithmische Grundlagen von SAT Lösern und deren Anwendungen in der Algorithmik und künstlichen Intelligenz * Prädikatenlogik erster Stufe * Syntax der Prädikatenlogik: logische Signaturen, Terme, Prädikationen, prädikatenlogische Formeln * Semantik der klassischen Prädikatenlogik: Strukturen und Gültigkeit * prädikatenlogische Folgerung und Äquivalenz * prädikatenlogische Substitution und Umbenennung * Beweiskalküle für die Prädikatenlogik * Definierbarkeit in der Prädikatenlogik"
Diskrete Strukturen,"4,9,16,17","Lehrergebnisse: Die Absolventinnen und Absolventen dieses Moduls können Problemstellungen aus der diskreten Mathematik verstehen und einschätzen. Sie können einfache Beweise unter Verwendung von z.B. Induktion und Schubfachprinzip erarbeiten. Sie kennen diskrete Strukturen (z.B. Mengensysteme und Graphen) und deren Anwendung in der Informatik. Insbesondere gehören dazu diverse kombinatorische Abzählmethoden und elementare Grundbegriffe der Zahlentheorie, inklusive zur Public-Key-Kryptographie, die im Kontext der IT-Sicherheit relevant ist. Weiterhin verfügen sie über solide Grundkenntnisse der Graphentheorie. Insbesondere verstehen sie verschiedene klassische Graphprobleme wie z.B. Matching und Graphfärbung. Sie können Eigenschaften spezieller Graphklassen (z.B. bipartite und planare Graphen) zur Lösung von Graphprobleme ausnutzen.
Lehrinhalte: - Kombinatorik - Zahlentheorie - Graphentheorie"
Logische Methoden der Informatik,"4,9,17","Lehrergebnisse: Das Modul behandelt weiterführende Themen der Logik in der Informatik. Absolventen und Absolventinnen der Kurses haben ein gutes Verständnis für Anwendungen der Logik in der Informatik. Sie können souverän mit logischen Systemen arbeiten, deren Komplexität und Ausdrucksstärke analysieren.  Sie können die Anwendungsmöglichkeiten der Logik in der Informatik gut einschätzen und kennen einige wichtige Anwendungen der Logik z.B. in der Verifikation, der Algorithmik und Komplexitätstheorie sowie zur Beschreibung formaler Sprachen. 
Lehrinhalte: Logik, Sprachen und Automaten * Logische Beschreibung regulärer Sprachen  * Zusammenhang zwischen Logiken und Automaten Verifikation * Verifikationslogiken LTL, CTL und den mu-Kalkül * Techniken zur automatischen Verifikation logischer Spezifikationen in Transitionssystemen Logik im Kontext relationaler Datenbanken * conjunctive queries * relationaler Kalkül * effizientes Auswerten von Datenbankanfragen Aussdrucksstärke logischer Systeme * Definierbarkeit in der Prädikatenlogik * Ehrenfeucht-Fraisse Spiele und  Lokalitätssätze Logik und Kopmplexität * Auswerten logischer Formeln in Strukturen, besonders Graphen. * Logische Beschreibungen von Komplexitätsklassen Logik in der künstlichen Intelligenz * Constraint Satisfaction Probleme in der künstlichen Intelligenz "
Reaktive Systeme,"9,4,16,17","Lehrergebnisse: Absolventinnen und Absolventen dieses Moduls können einfache nebenläufige Anwendungen formal spezifizieren, modellieren, und verifizieren. Sie können Fixpunkt-Berechnungen in mehreren unterschiedlichen Anwendungen ausführen sowie die darunter liegende Theorie erklären und rekonstruieren. Weiterhin verfügen sie über ein solides Grundverständnis für formale Verifikationsaufgaben, das sie befähigt die Lösbarkeit solcher Aufgaben mit den erlernten Techniken zu bewerten. Sie sind darüberhinaus in der Lage, die entsprechenden Kenntnisse und Techniken auf übersichtliche Programmier-Beispiele und Algorithmen zielführend anzuwenden.
Lehrinhalte: - Zustandsmaschinen - Prozesskalküle und -sprachen - Transitionssysteme - Bisimulationstechniken - Beaobachtungsäquivalenz - Interleaving vs Gleichzeitigkeit vs Nebenläufigkeit - Fixpunkttheorie - Temporallogik, ohne und mit Rekursion, deren Syntax und Semantik - Model Checking - lineare vs verzweigte Zeit - Fairness-Konzepte"
Rechnerorganisation Praktikum,"9,4,12,17","Lehrergebnisse: Die Studierenden sind befähigt, digitale Systeme in einer Hardwarebeschreibungssprache (VHDL) zu beschreiben und deren Verhalten mit Hilfe der eingesetzten Entwicklungswerkzeuge zu simulieren. Sie sind in der Lage, synchrone und asynchrone hierarchische Designs mit Verhaltens- und Strukturbeschreibungen zu implementieren. Sie beherrschen sequentielle und nebenläufige Sprachkonstrukte. Sie kennen den Aufbau und die Funktionsweise einer Testbench und sind in der Lage, diese eigenständig zu entwickeln. Sie haben außerdem Erfahrung mit dem systematischen Debugging von komplexen Schaltungen gesammelt.
Lehrinhalte: - Beschreibung digitaler Systeme mit einer Hardwarebeschreibungssprache (VHDL) - Wesentliche Sprachkonstrukte in VHDL (hierarchisches Design mit Verhaltens- und Strukturbeschreibungen, synchrone und asynchrone sowie sequentielle und nebenläufige Beschreibungen) - Beschreibung einzelner Komponenten eines RISC-Prozessors - Simulation digitaler Schaltungen (Umgang mit Entwicklungswerkzeugen, Entwicklung von Testbenches, systematisches Debugging)"
Softwaretechnik und Programmierparadigmen,"4,9,8,17","Lehrergebnisse: Die Studierenden haben die Fähigkeiten, Entwicklungsmethoden zur systematischen Herstellung von Software anzuwenden. Sie kennen Techniken zur Projektorganisation und haben Überblickswissen zu Softwarequalität und Anforderungsanalyse. Ihnen sind die Eigenschaften und Unterschiede verschiedener Programmierparadigmen bekannt. Durch die Arbeit im Team haben sie ihre Sozialkompetenz erweitert.
Lehrinhalte: * Vorgehensmodelle und Projektorganisation * Objektorientierte Entwicklungsmethoden * Anforderungsanalyse * Komponenten und Modularisierung * Verhaltensbeschreibungen * Qualitätssicherung (z.B. Testen, Verifikation durch Hoare-Kalkürl, Metriken) * Klassifikation von Softwaresystemen nach Architektur- und Anwendungszweck * Objektorientierte Programmierung * Modellorientierte Programmierung * Funktionale Programmierung * Logische Programmierung"
Funktionswerkstoffe der Elektrotechnik,"9,7,13,12,17","Lehrergebnisse: Die Studierenden kennen die wesentlichen Eigenschaften der wichtigsten Werkstoffe der Elektrotechnik/Elektronik und können diese bewerten. Sie können zu gegebenen Anforderungen die passenden Werkstoffe auswählen, bzw. sie anhand ihrer Eignung klassifizieren.
Lehrinhalte: Inhalt des Moduls sind Systemaspekte, Struktur und Eigenschaften der Materie. Behandelt werden: elektrische Leiter, Kontakte, Halbleiter, Supraleiter, elektrische Isolatoren, magnetische Werkstoffe, optische Werkstoffe sowie deren Technologie, Herstellung und Alterung mit Anwendungsbeispielen. Zusätzlich werden Nanowerkstoffe sowie zukünftige Technologien vorgestellt."
Leistungselektronik (6LP),"7,9,13,12,17","Lehrergebnisse: Leistungselektronik wird zur effizienten Wandlung und Steuerung elektrischer Energie eingesetzt. Die Studierenden erlernen in der Vorlesung mit Unterstützung von Übungsaufgaben und praktischen Versuchen die Grundlagen der wichtigsten Leistungshalbleiter-Bauelemente sowie der leistungselektronischen Schaltungen. Damit sind sie bei erfolgreichem Abschluss des Moduls in der Lage, leistungselektronische Problemstellungen in unterschiedlichen Anwendungen wie z.B. Energieeinspeisung von erneuerbaren Energien oder Steuerung von Antriebssystemen zu analysieren, zu bewerten und Lösungsvorschläge zu entwickeln.
Lehrinhalte: Die Vorlesung behandelt den physikalischen Aufbau sowie das Leit- und Schaltverhalten von Halbleiterbauelementen, die in Wandlerschaltungen (Umrichtern) eingesetzt werden. Die Wandler-Prinzipien und Grundschaltungen der Leistungselektronik werden vermittelt. Anwendungsgebite der behandelten Schaltungen umfassen z.B. Netzteile, Antriebssysteme, Einspeisung von Photovoltaikanlagen in das Energieversorgungsnetz und Hochspannungs-Gleichstrom-Übertragung (HGÜ). Die Leistungen reichen vom Watt- bis in den Megawattbereich. Themen: Leistungshalbleiter: Leistungsdiode, MOSFET, IGBT, Thyristor, GTO/IGCT. Leistungselektronische Schaltungen: fremd- und selbstgeführte Gleich- und Wechselrichter, Gleichspannungswandler; moderne Steuerverfahren; Netzrückwirkungen; Anwendungen Praktische Versuche: Schaltverhalten von Leistungshalbleitern, Thyristorbrücke, Gleichspannungswandler."
Master-Seminar: Betrieb komplexer IT-Systeme,"9,17,3,13","Lehrergebnisse: Die Studierenden verfügen über Kenntnisse aktueller Forschungsergebnisse und Trends aus dem Bereich des Betriebs komplexer IT-Systeme. Durch die Arbeit im Seminar werden zudem methodische Fertigkeiten in der Aufbereitung von Literatur, des wissenschaftlichen Schreibens, sowie der Präsentation vermittelt.
Lehrinhalte: In diesem Seminar werden diese und verwandte Frage aus dem Bereich der Architektur und des Betriebs komplexer und verteilter IT Systeme aufgegriffen und anhand aktueller wissenschaftlicher Arbeiten und Literatur beleuchtet. Im Vordergrund stehen dabei Fragestellungen aus aktuellen Forschungsbereichen wie z.B.: Cloud Computing Virtualized Infrastructures Management of large scale computing clusters Big Data Analysis  and Visualization Internet of Things Quality of Service, Software Defined Networks Fault Tolerance Checkpointing"
Wissenschaftliches Rechnen,"4,9,13,17","Lehrergebnisse: Studierende sind in der Lage konkrete alltägliche Fragestellungen mit den Mitteln der Mathematik zu beschreiben. Sie können auf der Basis der mathematischen Beschreibung ein geeignetes Verfahren zur Berechnung auswählen und dieses dann implementieren. Dabei wissen sie, auf welche Bibliotheksmethoden sie zugreifen können und sollten. Sie sind in der Lage die Grenzen der Anwendbarkeit bzw. deren Ressourcenbedarf einzuschätzen.
Lehrinhalte: Grundlagen des wissenschaftlichen Rechnens: Gleitkommazahlen, lineare Gleichungssysteme, lineare Ausgleichsrechnung, nichtlineare Gleichungen, Eigenwerte, Singulärwertzerlegung, Approximation und Interpolation, diskrete Fouriertransformation und FFT, Optimierung."
